id,name,state_id,field_1,field_2,field_3,field_4,field_5,field_6,field_7,field_8,field_9
1,Port Blair,35,0,0,0,0,0,0,0,,
2,Adilabad,28,0,0,0,0,0,0,0,,
3,Adoni,28,0,0,0,0,0,0,0,,
4,Alwal,28,0,0,0,0,0,0,0,,
5,Anakapalle,28,0,0,0,0,0,0,0,,
6,Anantapur,28,0,0,0,0,0,0,0,,
7,Bapatla,28,0,0,0,0,0,0,0,,
8,Belampalli,28,0,0,0,0,0,0,0,,
9,Bhimavaram,28,0,0,0,0,0,0,0,,
10,Bhongir,28,0,0,0,0,0,0,0,,
11,Bobbili,28,0,0,0,0,0,0,0,,
12,Bodhan,28,0,0,0,0,0,0,0,,
13,Chilakalurupet,28,0,0,0,0,0,0,0,,
14,Chinna Chawk,28,0,0,0,0,0,0,0,,
15,Chirala,28,0,0,0,0,0,0,0,,
16,Chittur,28,0,0,0,0,0,0,0,,
17,Cuddapah,28,0,0,0,0,0,0,0,,
18,Dharmavaram,28,0,0,0,0,0,0,0,,
19,Dhone,28,0,0,0,0,0,0,0,,
20,Eluru,28,0,0,0,0,0,0,0,,
21,Gaddiannaram,28,0,0,0,0,0,0,0,,
22,Gadwal,28,0,0,0,0,0,0,0,,
23,Gajuwaka,28,0,0,0,0,0,0,0,,
24,Gudivada,28,0,0,0,0,0,0,0,,
25,Gudur,28,0,0,0,0,0,0,0,,
26,Guntakal,28,0,0,0,0,0,0,0,,
27,Guntur,28,0,0,0,0,0,0,0,,
28,Hindupur,28,0,0,0,0,0,0,0,,
29,Hyderabad,36,12744,30,5.8,0,2,185.5,1,,
30,Jagtial,28,0,0,0,0,0,0,0,,
31,Kadiri,28,0,0,0,0,0,0,0,,
32,Kagaznagar,28,0,0,0,0,0,0,0,,
33,Kakinada,28,0,0,0,0,0,0,0,,
34,Kallur,28,0,0,0,0,0,0,0,,
35,Kamareddi,28,0,0,0,0,0,0,0,,
36,Kapra,28,0,0,0,0,0,0,0,,
37,Karimnagar,28,0,0,0,0,0,0,0,,
38,Karnul,28,0,0,0,0,0,0,0,,
39,Kavali,28,0,0,0,0,0,0,0,,
40,Khammam,28,0,0,0,0,0,0,0,,
41,Kodar,28,0,0,0,0,0,0,0,,
42,Kondukur,28,0,0,0,0,0,0,0,,
43,Koratla,28,0,0,0,0,0,0,0,,
44,Kottagudem,28,0,0,0,0,0,0,0,,
45,Kukatpalle,28,0,0,0,0,0,0,0,,
